date,Tic,open,high ,low,close,volume 
4/22/2008,Fameli,18.63,18.88,18.58,18.88,216422
4/23/2008,Fameli,18.88,19.24,18.75,18.97,940024
4/26/2008,Fameli,19.27,19.33,18.98,19.02,1069680
4/27/2008,Fameli,19.33,19.33,19.05,19.05,326944
4/28/2008,Fameli,19.05,19.12,18.69,19.01,491854
4/29/2008,Fameli,18.88,19.01,18.74,18.98,2399719
4/30/2008,Fameli,18.98,18.99,18.75,18.96,444916
5/3/2008,Fameli,18.89,18.89,18.58,18.84,786355
5/4/2008,Fameli,18.49,18.72,18.46,18.72,711857
5/5/2008,Fameli,18.45,18.82,18.38,18.71,247621
5/6/2008,Fameli,18.92,19.05,18.72,18.76,753680
5/12/2008,Fameli,19.25,19.33,19.12,19.12,1462147
5/13/2008,Fameli,19.69,19.69,19.69,19.69,3562753
5/14/2008,Fameli,19.79,20.12,19.59,19.82,3721309
5/17/2008,Fameli,19.39,19.75,19.28,19.7,1199143
5/18/2008,Fameli,19.57,19.75,19.29,19.69,1925092
5/19/2008,Fameli,19.28,19.75,19.28,19.68,969479
5/20/2008,Fameli,19.29,19.68,19.29,19.66,513396
5/21/2008,Fameli,19.5,19.82,19.5,19.65,6168685
5/24/2008,Fameli,19.63,19.98,19.58,19.66,390676
5/25/2008,Fameli,19.75,19.75,19.31,19.62,486784
5/26/2008,Fameli,19.46,20.21,19.44,20.04,4143693
5/27/2008,Fameli,20.08,20.25,19.78,20.02,2448244
5/28/2008,Fameli,20.13,20.6,19.93,20.24,2146364
5/31/2008,Fameli,20.24,20.24,19.64,20.06,1004405
6/1/2008,Fameli,19.88,19.88,19.46,19.8,1004197
6/2/2008,Fameli,19.85,19.85,19.38,19.73,450547
6/8/2008,Fameli,19.28,19.65,19.24,19.65,478889
6/9/2008,Fameli,19.63,19.96,19.5,19.66,1761770
6/10/2008,Fameli,19.67,20.25,19.67,20.1,5630928
6/11/2008,Fameli,20.29,20.69,20.18,20.35,1581201
6/14/2008,Fameli,20.26,20.33,19.74,19.91,1786658
6/15/2008,Fameli,19.53,19.92,19.41,19.74,1582090
6/16/2008,Fameli,19.99,20.33,19.8,20.02,1452699
6/17/2008,Fameli,20.62,20.62,20.05,20.05,124876
6/18/2008,Fameli,20.65,20.65,20.39,20.39,1313706
6/21/2008,Fameli,21,21,20.76,20.99,3489788
6/22/2008,Fameli,21.62,21.62,20.89,21.55,4564638
6/23/2008,Fameli,21.51,21.51,20.94,21.3,2107615
6/24/2008,Fameli,20.66,21.07,10.35,21.07,227605568
6/25/2008,Fameli,20.44,21.05,20.44,21.02,1746971
6/28/2008,Fameli,21.26,21.53,21.14,21.14,1515634
6/29/2008,Fameli,21.13,21.51,21.1,21.18,731651
6/30/2008,Fameli,21.6,21.82,21.6,21.81,3844067
7/1/2008,Fameli,22.47,22.47,22.47,22.47,2613958
7/2/2008,Fameli,23.14,23.14,4.63,22.59,806917247
7/5/2008,Fameli,19.17,22.59,19.17,22.59,91385665
7/7/2008,Fameli,10.35,22.59,10.35,22.59,231585794
7/21/2008,Fameli,20.01,20.01,19.18,19.48,7732042
7/22/2008,Fameli,19.51,19.81,19.25,19.49,851477
7/23/2008,Fameli,19.99,20,10.35,19.52,5743640
7/26/2008,Fameli,19.26,19.52,18.93,18.98,2204776
7/27/2008,Fameli,18.83,18.83,18.42,18.66,1433805
7/28/2008,Fameli,18.63,18.64,18.21,18.57,635771
7/29/2008,Fameli,18.94,19.03,18.73,18.73,1096154
8/2/2008,Fameli,18.76,18.76,18.17,18.5,1025844
8/3/2008,Fameli,18.19,18.51,17.95,18.22,1448529
8/4/2008,Fameli,17.96,18.04,17.67,18.04,807324
8/5/2008,Fameli,17.5,17.76,17.5,17.51,2798112
8/6/2008,Fameli,17.26,17.35,16.99,17.35,728231
8/9/2008,Fameli,16.99,17.12,16.83,17.12,1048743
8/10/2008,Fameli,17.26,17.33,16.98,17.11,721945
8/11/2008,Fameli,17.25,17.25,16.6,17.02,509562
8/12/2008,Fameli,16.51,16.72,16.51,16.72,1324220
8/13/2008,Fameli,16.22,19.17,16.22,16.3,200163514
8/16/2008,Fameli,16.29,16.3,15.99,16.29,150938
8/18/2008,Fameli,16.29,16.29,16.07,16.27,315676
8/19/2008,Fameli,16.11,16.26,16.1,16.26,216357
8/20/2008,Fameli,16.38,16.75,16.36,16.52,1225037
8/23/2008,Fameli,17.01,17.01,16.61,16.61,437584
8/24/2008,Fameli,17.11,17.11,16.62,16.62,49632
8/25/2008,Fameli,17.12,17.12,16.92,16.92,1379538
8/26/2008,Fameli,17.43,17.43,17.11,17.16,1227000
8/27/2008,Fameli,17.06,17.25,16.71,17.15,606785
8/30/2008,Fameli,16.88,17.07,16.64,17.07,399257
8/31/2008,Fameli,16.56,16.89,16.56,16.89,800300
9/1/2008,Fameli,16.76,16.88,16.39,16.88,115324
9/2/2008,Fameli,16.37,16.98,16.37,16.81,431227
9/3/2008,Fameli,16.51,16.79,16.33,16.79,186390
9/6/2008,Fameli,16.29,16.29,16.29,16.29,2302056
9/7/2008,Fameli,15.8,16.11,15.8,16.11,844055
9/8/2008,Fameli,15.63,16.03,15.63,16.03,403961
